,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,11654,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19746737.0,19746737.0,False,,1,,,,2024-08-29T13:14:00.000Z,60407.84309512009,35062456274.473366,-19.5664,0.4916336,0.97719806,-0.67698013,-9.43657243,-1.60761773,-12.01308342,1192857790336.6025,56.1999,1268564704997.52,,2024-08-29T13:14:00.000Z,,,,,,2024-08-29 15:15:17.806086
1,1027,Ethereum,ETH,ethereum,9253,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120298529.85377939,120298529.85377939,True,,2,,,,2024-08-29T13:13:00.000Z,2573.9261000322094,16553325253.479937,-24.1336,0.66071194,2.00965506,-1.86759,-23.31469176,-23.89463931,-32.56029872,309639525786.1467,14.5985,309639525786.15,,2024-08-29T13:13:00.000Z,,,,,,2024-08-29 15:15:17.806086
2,825,Tether USDt,USDT,tether,95922,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,118104595856.35669,120251893184.08086,True,,3,,,,2024-08-29T13:13:00.000Z,1.0000381874530626,58636194618.64648,-20.2884,-0.01000404,-0.05780703,-0.01691667,0.01939921,0.19103742,0.04056903,118109105970.06743,5.5668,120256485297.61,,2024-08-29T13:13:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-08-29 15:15:17.806086
3,1839,BNB,BNB,bnb,2222,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,145935117.83926907,145935117.83926907,False,,4,,,,2024-08-29T13:13:00.000Z,544.7868888070191,1675765819.621572,-14.7601,0.13666237,0.75200753,-6.21448404,-5.05016165,-5.12547042,-8.77319894,79503538815.34111,3.7484,79503538815.34,,2024-08-29T13:13:00.000Z,,,,,,2024-08-29 15:15:17.806086
4,5426,Solana,SOL,solana,724,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,466270858.6970729,583356255.8770479,True,,5,,,,2024-08-29T13:13:00.000Z,145.66204830595262,2403702298.1931753,-21.585,0.13093092,-1.02641198,1.80168524,-19.98039783,3.10996439,-14.28289602,67917968343.19105,3.1999,84972867123.14,,2024-08-29T13:13:00.000Z,,,,,,2024-08-29 15:15:17.806086
0,1,Bitcoin,BTC,bitcoin,11654,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19746737.0,19746737.0,False,,1,,,,2024-08-29T13:14:00.000Z,60407.84309512009,35062456274.473366,-19.5664,0.4916336,0.97719806,-0.67698013,-9.43657243,-1.60761773,-12.01308342,1192857790336.6025,56.1999,1268564704997.52,,2024-08-29T13:14:00.000Z,,,,,,2024-08-29 15:15:27.315864
1,1027,Ethereum,ETH,ethereum,9253,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120298529.85377939,120298529.85377939,True,,2,,,,2024-08-29T13:13:00.000Z,2573.9261000322094,16553325253.479937,-24.1336,0.66071194,2.00965506,-1.86759,-23.31469176,-23.89463931,-32.56029872,309639525786.1467,14.5985,309639525786.15,,2024-08-29T13:13:00.000Z,,,,,,2024-08-29 15:15:27.315864
2,825,Tether USDt,USDT,tether,95922,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,118104595856.35669,120251893184.08086,True,,3,,,,2024-08-29T13:13:00.000Z,1.0000381874530626,58636194618.64648,-20.2884,-0.01000404,-0.05780703,-0.01691667,0.01939921,0.19103742,0.04056903,118109105970.06743,5.5668,120256485297.61,,2024-08-29T13:13:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-08-29 15:15:27.315864
3,1839,BNB,BNB,bnb,2222,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,145935117.83926907,145935117.83926907,False,,4,,,,2024-08-29T13:13:00.000Z,544.7868888070191,1675765819.621572,-14.7601,0.13666237,0.75200753,-6.21448404,-5.05016165,-5.12547042,-8.77319894,79503538815.34111,3.7484,79503538815.34,,2024-08-29T13:13:00.000Z,,,,,,2024-08-29 15:15:27.315864
4,5426,Solana,SOL,solana,724,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,466270858.6970729,583356255.8770479,True,,5,,,,2024-08-29T13:13:00.000Z,145.66204830595262,2403702298.1931753,-21.585,0.13093092,-1.02641198,1.80168524,-19.98039783,3.10996439,-14.28289602,67917968343.19105,3.1999,84972867123.14,,2024-08-29T13:13:00.000Z,,,,,,2024-08-29 15:15:27.315864
0,1,Bitcoin,BTC,bitcoin,11654,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19746737.0,19746737.0,False,,1,,,,2024-08-29T13:29:00.000Z,60257.71514094582,35144971491.95002,-19.3185,-0.00214415,0.69717386,-0.99937556,-9.57152535,-1.90222914,-12.34053077,1189893253109.175,56.0621,1265412017959.86,,2024-08-29T13:29:00.000Z,,,,,,2024-08-29 15:30:26.330831
1,1027,Ethereum,ETH,ethereum,9253,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120298529.85377939,120298529.85377939,True,,2,,,,2024-08-29T13:28:00.000Z,2566.3648490659743,16607009602.515799,-23.831,-0.00201181,1.85047428,-2.2856977,-23.33138687,-24.18419256,-32.72741828,308729918411.05316,14.5573,308729918411.05,,2024-08-29T13:28:00.000Z,,,,,,2024-08-29 15:30:26.330831
2,825,Tether USDt,USDT,tether,95923,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,118104595856.35669,120251893184.08086,True,,3,,,,2024-08-29T13:28:00.000Z,1.0002153165212528,58781056957.87194,-20.0003,-0.00101606,0.00133365,-0.02507618,0.03695271,0.19962059,0.06406454,118130025727.08046,5.5661,120277785403.4,,2024-08-29T13:28:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-08-29 15:30:26.330831
3,1839,BNB,BNB,bnb,2222,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,145935117.83926907,145935117.83926907,False,,4,,,,2024-08-29T13:28:00.000Z,543.9223000565812,1674660077.5206792,-14.9826,0.00625966,0.59535806,-6.90029938,-5.15417573,-5.44562204,-8.91384181,79377364954.16345,3.7401,79377364954.16,,2024-08-29T13:28:00.000Z,,,,,,2024-08-29 15:30:26.330831
4,5426,Solana,SOL,solana,724,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,466270858.6970729,583356255.8770479,True,,5,,,,2024-08-29T13:28:00.000Z,145.0547297925259,2414584795.5650477,-20.9132,-0.48465452,-1.37751544,1.00672649,-20.20771007,2.47024797,-14.50188405,67634793418.43294,3.1866,84618584069.02,,2024-08-29T13:28:00.000Z,,,,,,2024-08-29 15:30:26.330831
